56,PEACE MAKER 鐵 前編～想道〈オモウミチ〉～,Peace Maker Kurogane Movie 1: Omou Michi,2018.06.02 - 2018.06.02,,1,https://cdn.myanimelist.net/images/anime/1379/91338.jpg,
57,ぼくはくま,Boku wa Kuma,2006.10.02 - 2006.10.02,,1,https://cdn.myanimelist.net/images/anime/3/18043.jpg,
58,姉恋 スキ・キライ・ダイスキ。,Ane Koi: Suki Kirai Daisuki.,2013.02.15 - 2013.05.17,,2,https://cdn.myanimelist.net/images/anime/5/47029.jpg,
59,パラソルヘンべえ,Parasol Henbei,1989.10.02 - 1991.01.28,,200,https://cdn.myanimelist.net/images/anime/6/44704.jpg,
60,銀河漂流バイファム 消えた12人,Ginga Hyouryuu Vifam: Kieta 12-nin,1985.02.25 - 1985.02.25,,1,https://cdn.myanimelist.net/images/anime/11/59747.jpg,
61,スーパーダンガンロンパ2.5 狛枝凪斗と世界の破壊者,Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono,2017.01.12 - 2017.01.12,,1,https://cdn.myanimelist.net/images/anime/10/83150.jpg,
62,酎ハイれもんLOVE30S 雨にぬれても,Chuuhai Lemon: Love 30s - Ame ni Nurete mo,1985.10.21 - 1985.10.21,,1,https://cdn.myanimelist.net/images/anime/6/27716.jpg,
63,十二国記,Juuni Kokuki,2002.04.09 - 2003.08.30,,45,https://cdn.myanimelist.net/images/anime/6/50859.jpg,The Twelve Kingdoms
64,DIABOLIK LOVERS OAD,Diabolik Lovers,2015.02.26 - 2015.02.26,OVA,1,https://cdn.myanimelist.net/images/anime/12/74238.jpg,
65,コ・コ・ロ・・・,Ko Ko Ro,2001.12.21 - 2002.06.21,,2,https://cdn.myanimelist.net/images/anime/6/11545.jpg,
66,Tuzki: LOVE ASSASSIN,Tuzki: Love Assassin,2014.02.12 - 2014.02.12,,1,https://cdn.myanimelist.net/images/anime/6/61931.jpg,
67,ルパン三世 ルパン一家勢揃い,Lupin III: Lupin Ikka Seizoroi,2012.03.28 - 2012.03.28,,1,https://cdn.myanimelist.net/images/anime/2/46379.jpg,
68,ネコこのゴロ,Neko Konogoro,2016.06.08 - None,,0,https://cdn.myanimelist.net/images/anime/1877/91297.jpg,
69,青の6号,Ao no 6-gou,1998.10.25 - 2000.03.25,,4,https://cdn.myanimelist.net/images/anime/3/20750.jpg,Blue Submarine No. 6
70,ベン・トー,Ben-To Picture Drama,2011.12.21 - 2012.05.16,,6,https://cdn.myanimelist.net/images/anime/13/34953.jpg,
71,合身戦隊メカンダーロボ,Gasshin Sentai Mechander Robo,1977.03.03 - 1977.12.29,,35,https://cdn.myanimelist.net/images/anime/9/29474.jpg,Combining Squadron Mechander Robo
72,星界の紋章 総集編,Seikai no Monshou Special,2000.04.07 - 2000.04.07,,1,https://cdn.myanimelist.net/images/anime/9/2753.jpg,
73,テガミバチ学園,Tegamibachi Gakuen,2010.01.27 - 2010.07.23,,25,https://cdn.myanimelist.net/images/anime/4/19573.jpg,Letter Bee Academy
74,おにくだいすき! ゼウシくん「すてきなハンバーグ」,Oniku Daisuki! Zeushi-kun: Suteki na Hamburger,2016.02.10 - 2016.02.10,,1,https://cdn.myanimelist.net/images/anime/3/78398.jpg,
75,侍霊演武[ソウルバスター],Soul Buster,2016.10.04 - 2016.12.11,,12,https://cdn.myanimelist.net/images/anime/3/82256.jpg,Soul Buster
76,ジオニックフロント 機動戦士ガンダム0079,Mobile Suit Gundam: Zeonic Front - Indignation of Zeon.,2001.09.06 - 2001.09.06,,1,https://cdn.myanimelist.net/images/anime/2/54731.jpg,
77,からくりサーカス,Karakuri Circus,None - None,,36,https://cdn.myanimelist.net/images/anime/1292/91218.jpg,Le Cirque de Karakuri
78,ナヌムの家,Nanumu no Ie,None - None,,1,https://cdn.myanimelist.net/images/anime/4/84973.jpg,
79,デス・ビリヤード,Death Billiards,2013.03.02 - 2013.03.02,,1,https://cdn.myanimelist.net/images/anime/11/48721.jpg,Death Billiards
80,FAKE STYLE II,Fake Style II,2014.08.01 - 2014.08.01,,1,https://cdn.myanimelist.net/images/anime/6/78575.jpg,
81,ライブオン CARDLIVER 翔,Live On Cardliver Kakeru,2008.10.05 - 2009.09.27,,51,https://cdn.myanimelist.net/images/anime/9/21028.jpg,
82,ゲゲゲの鬼太郎 最強妖怪軍団！日本陸!!,Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,1986.07.12 - 1986.07.12,,1,https://cdn.myanimelist.net/images/anime/5/27356.jpg,Spooky Kitarou: The Strongest Ghost Army! Landing in Japan!!
83,黒瞳皇,Kokudo Oh,2000.11.28 - 2002.06.18,,5,https://cdn.myanimelist.net/images/anime/4/23816.jpg,Legend of the Black Eye
84,トリアージX,Triage X,2015.04.09 - 2015.06.11,,10,https://cdn.myanimelist.net/images/anime/8/73682.jpg,Triage X
85,深海の艦隊 サブマリン707,Shinkai no Kantai: Submarine 707,1997.01.10 - 1997.01.10,,1,https://cdn.myanimelist.net/images/anime/6/43741.jpg,
86,電車かもしれない,Densha Kamo Shirenai,None - None,,1,https://cdn.myanimelist.net/images/anime/11/15638.jpg,The Evening Traveling
87,イリオンとカリシア,Ylion to Callysia,2017.06.04 - 2017.06.04,,1,https://cdn.myanimelist.net/images/anime/8/85786.jpg,
88,七つの美徳,Nanatsu no Bitoku,2018.01.27 - 2018.03.31,,10,https://cdn.myanimelist.net/images/anime/9/89129.jpg,The Seven Heavenly Virtues
89,METROPOLIS,Metropolis (2009),None - None,,1,https://cdn.myanimelist.net/images/anime/12/71619.jpg,
90,灰と幻想のグリムガル 「風呂の壁にかけた青春――one more センチメートル」,Hai to Gensou no Grimgar Special,2016.03.16 - 2016.03.16,,1,https://cdn.myanimelist.net/images/anime/11/78160.jpg,Grimgar: Ashes and Illusions Special
91,目玉焼きの黄身 いつつぶす？,Medamayaki no Kimi Itsu Tsubusu?,2014.08.05 - 2014.08.08,,4,https://cdn.myanimelist.net/images/anime/9/62711.jpg,
92,世界名作劇場・完結版 私のあしながおじさん,Watashi no Ashinaga Ojisan Specials,None - None,,2,https://cdn.myanimelist.net/images/anime/9/70611.jpg,
